2026-03-25 12:46:43 | INFO | 1 | MacroEnergy | myopic.jl:123 |  -- Writing outputs for period 1
2026-03-25 12:46:45 | INFO | 1 | MacroEnergy | write_capacity.jl:68 | Writing capacity results to C:\Users\shash\MacroEnergy.jl\electricity_fiveZ_8736_1p_modified\results\results\capacity.csv
2026-03-25 12:46:54 | INFO | 1 | MacroEnergy | write_cost.jl:36 | Writing total discounted costs to C:\Users\shash\MacroEnergy.jl\electricity_fiveZ_8736_1p_modified\results\results\costs.csv
2026-03-25 12:46:54 | INFO | 1 | MacroEnergy | write_cost.jl:79 | Writing total undiscounted costs to C:\Users\shash\MacroEnergy.jl\electricity_fiveZ_8736_1p_modified\results\results\undiscounted_costs.csv
2026-03-25 12:47:02 | INFO | 1 | MacroEnergy | write_cost.jl:554 | Writing detailed discounted costs by type to C:\Users\shash\MacroEnergy.jl\electricity_fiveZ_8736_1p_modified\results\results\costs_by_type.csv
2026-03-25 12:47:03 | INFO | 1 | MacroEnergy | write_cost.jl:562 | Writing detailed discounted costs by zone to C:\Users\shash\MacroEnergy.jl\electricity_fiveZ_8736_1p_modified\results\results\costs_by_zone.csv
2026-03-25 12:47:03 | INFO | 1 | MacroEnergy | write_cost.jl:554 | Writing detailed undiscounted costs by type to C:\Users\shash\MacroEnergy.jl\electricity_fiveZ_8736_1p_modified\results\results\undiscounted_costs_by_type.csv
2026-03-25 12:47:03 | INFO | 1 | MacroEnergy | write_cost.jl:562 | Writing detailed undiscounted costs by zone to C:\Users\shash\MacroEnergy.jl\electricity_fiveZ_8736_1p_modified\results\results\undiscounted_costs_by_zone.csv
2026-03-25 12:47:03 | INFO | 1 | MacroEnergy | write_flow.jl:66 | Writing flow results to C:\Users\shash\MacroEnergy.jl\electricity_fiveZ_8736_1p_modified\results\results\flows.csv
2026-03-25 12:47:09 | INFO | 1 | MacroEnergy | write_non_served_demand.jl:44 | Writing non-served demand results to C:\Users\shash\MacroEnergy.jl\electricity_fiveZ_8736_1p_modified\results\results\non_served_demand.csv
2026-03-25 12:47:09 | INFO | 1 | MacroEnergy | write_storage_level.jl:58 | Writing storage level results to C:\Users\shash\MacroEnergy.jl\electricity_fiveZ_8736_1p_modified\results\results\storage_level.csv
2026-03-25 12:47:10 | INFO | 1 | MacroEnergy | write_curtailment.jl:44 | Writing curtailment results to C:\Users\shash\MacroEnergy.jl\electricity_fiveZ_8736_1p_modified\results\results\curtailment.csv
2026-03-25 12:47:11 | INFO | 1 | MacroEnergy | write_time_weights.jl:49 | Writing time weights to C:\Users\shash\MacroEnergy.jl\electricity_fiveZ_8736_1p_modified\results\results\time_weights.csv
2026-03-25 12:47:11 | INFO | 1 | MacroEnergy | write_duals.jl:38 | Writing constraint dual values to C:\Users\shash\MacroEnergy.jl\electricity_fiveZ_8736_1p_modified\results\results
2026-03-25 12:47:11 | INFO | 1 | MacroEnergy | write_duals.jl:81 | Writing balance constraint dual values to C:\Users\shash\MacroEnergy.jl\electricity_fiveZ_8736_1p_modified\results\results
2026-03-25 12:47:12 | INFO | 1 | MacroEnergy | write_duals.jl:155 | Writing CO2 cap constraint dual values to C:\Users\shash\MacroEnergy.jl\electricity_fiveZ_8736_1p_modified\results\results
2026-03-25 12:47:17 | INFO | 1 | MacroEnergy | myopic.jl:136 | Writing settings file
